Age_yrs,Education_level,Income_level,Gender,Random_twin_split,P-SDQ_Emo,P-SDQ_Conduct,P-SDQ_Hyper,P-SDQ_Peer,P-SDQ_Procosial,P-SDQ_Total_Problems,P-EATQ_Aggression,C-EATQ_Aggression,C_IBSbully,C_IBSvictim,C_IBSfight,Bully_Fight,Bully_Victim,C_IBS_Total,coop1,coop_rt1,coop2,coop_rt2,coop3,coop_rt3,coop4,coop_rt4,coop5,coop_rt5,coop6,coop_rt6,coop7,coop_rt7,coop8,coop_rt8,coop9,coop_rt9,coop10,coop_rt10,Strategy
15,9,7,1,1,4,0,1,2,8,7,9,24,0,0,0,0,0,0,CC,11.91,CC,4.829999999999998,CD,5.25,CC,5.34,DC,6.630000000000003,CC,5.789999999999999,CD,4.909999999999997,DC,5.470000000000006,DC,5.18,CC,6.019999999999996,other
14,9,9,2,1,1,0,1,1,7,3,14,31,6,2,0,6,8,8,CC,10.11,CC,4.200000000000001,CD,4.679999999999998,DC,7.350000000000001,DC,7.680000000000003,DC,8.93,DD,6.890000000000001,DC,5.959999999999994,CC,5.010000000000005,CC,4.469999999999999,other
16,6,5,1,1,1,0,0,1,10,2,11,19,3,2,0,3,5,5,CC,10.26,DC,4.6899999999999995,DD,4.050000000000001,CC,4.050000000000001,DC,4.849999999999998,CC,4.240000000000002,DD,3.990000000000002,DC,3.9099999999999966,CC,4.219999999999999,DC,5.550000000000004,draw blood
14,9,9,2,1,0,0,0,0,5,0,12,27,0,0,0,0,0,0,DC,14.02,CC,8.75,CD,5.990000000000002,CC,10.989999999999998,CC,6.789999999999999,CC,6.509999999999998,CD,4.740000000000002,DC,7.509999999999998,CC,7.920000000000002,CC,11.11,draw blood
15,8,9,1,1,0,2,10,5,6,17,21,39,12,7,6,18,19,25,CC,11.44,CC,3.8000000000000007,CD,3.540000000000001,CC,3.599999999999998,CC,4.93,CC,4.760000000000002,DD,4.969999999999999,CC,3.960000000000001,CC,4.530000000000001,DC,4.589999999999996,other
14,9,6,2,1,1,0,2,0,10,3,7,29,0,0,0,0,0,0,DC,8.87,DC,6.360000000000001,DD,5.349999999999998,DC,5.840000000000003,DC,4.989999999999998,DC,5.02,DD,4.530000000000001,DC,5.079999999999998,DC,5.509999999999998,DC,5.220000000000006,draw blood
14,7,8,2,1,1,3,4,1,6,9,11,24,4,2,0,4,6,6,CC,9.66,CC,4.09,CD,4.699999999999999,DC,4.010000000000002,DC,4.739999999999998,DC,4.470000000000002,DD,4.519999999999996,CC,4.590000000000003,CC,4.079999999999998,CC,4.590000000000003,other
16,4,10,2,1,5,1,2,1,10,9,15,32,5,0,0,5,5,5,CC,9.66,CC,5.0600000000000005,DD,4.24,DC,4.25,DC,4.619999999999997,DC,4.649999999999999,DD,4.700000000000003,CC,4.57,CC,4.950000000000003,CC,5.25,draw blood
11,7,8,2,1,1,0,3,0,7,4,14,18,0,0,0,0,0,0,DC,16.82,DC,4.27,DD,5.100000000000001,CC,3.669999999999998,DC,4.399999999999999,CC,4.219999999999999,CD,4.040000000000006,DC,4.479999999999997,CC,4.479999999999997,CC,7.670000000000002,draw blood
13,9,8,1,1,2,3,2,3,7,10,18,24,7,0,2,9,7,9,CC,11.41,CC,8.73,CD,3.6899999999999977,CC,3.91,CC,3.5600000000000023,DC,6.669999999999998,CD,3.5700000000000003,CC,8.86,CC,3.5500000000000043,DC,3.3799999999999955,other
